"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Disney II Elem School",0.7,15,"INDEPENDENCE",103,NA,NA,42,41.9505183,-87.7302021
"Disney II Magnet HS",0.2,5,"INDEPENDENCE",87,495,446.3,76,41.9521904,-87.7206118
"Dixon Elem School",0.4,9,"BROWN (SIDNEY) MEML.",141,NA,NA,63,41.74333,-87.6105986
"Dore Elem School",0.3,7,"NOTTINGHAM",120,NA,NA,68,41.7743673,-87.7998245
"Douglass Academy High School",0.3,6,"AUSTIN TOWN HALL",NA,NA,NA,NA,41.8905747,-87.7671581
"Drake Elem School",0.1,2,"WILLIAMS (DANIEL HALE)",21,NA,NA,5,41.8437356,-87.6287219
"Drummond Elem School",0.2,4,"PRITZKER",59,NA,NA,25,41.8781136,-87.6297982
"Dubois Elem School",0.8,18,"GOLDEN GATE",8,NA,NA,7,41.653971,-87.6142327
"Dulles Elem School",0.7,17,"PRAIRIE WOLF",17,NA,NA,9,41.7799361,-87.616755
"Dunbar Vocational Career Acad HS",0.4,8,"DUNBAR (PAUL LAURENCE)",1,380.3,369.3,2,41.8400895,-87.6178683
"Dunne Technology Acad Elem Sch",0.6,14,"FERNWOOD",40,NA,NA,15,41.6962804,-87.6396904
"Durkin Park Elem School",0.1,2,"DURKIN (MARTIN)",99,NA,NA,57,41.7390682,-87.7294207
"Dvorak Technology Acad Elem Sch",0.2,4,"PRITZKER",14,NA,NA,11,41.8781136,-87.6297982
"Earhart Elem Opt for Knowl School",0.2,4,"PRITZKER",69,NA,NA,26,41.8781136,-87.6297982
"Earle Elem School",0.2,4,"PRITZKER",12,NA,NA,10,41.8781136,-87.6297982
"Eberhart Elem School",0.8,17,"MARQUETTE (JACQUES)",73,NA,NA,79,41.774628,-87.7083351
"Ebinger Elem School",0.3,8,"EDISON (THOMAS ALVA)",283,NA,NA,118,42.0046648,-87.810844
"Edgebrook Elem School",0.4,9,"GREEN (JEFFREY)",188,NA,NA,60,41.9997272,-87.7607268
"Edison Elem Regional Gifted Cntr",0.3,7,"KIWANIS",158,NA,NA,53,41.9711538,-87.7095999
"Edison Park Elem School",0.5,11,"OLYMPIA",109,NA,NA,35,41.9938986,-87.8141516
"Edwards Elem School",0.4,9,"CURIE (MARIE)",87,NA,NA,109,41.8053759,-87.7255365
"Ellington Elem School",0.3,7,"AUSTIN TOWN HALL",25,NA,NA,13,41.8853859,-87.7662187
"Englewood STEM High School",0.4,9,"HARRIS (RYAN) MEMORIAL",2,395.6,373.5,1,41.7699904,-87.6343735
"EPIC Academy High School",1.0,22,"ECKERSALL (WALTER HERBERT)",1,404.7,388.6,3,41.7448288,-87.549707
"Ericson Elem Scholastic Academy",0.4,10,"GLADYS (GUNDERSON)",37,NA,NA,19,41.8758977,-87.7162566
"Erie Elem Charter School",0.3,8,"PARK NO. 399",37,NA,NA,10,41.906863,-87.6943513
"Esmond Elem School",0.3,7,"BOHN (HENRY)",22,NA,NA,16,41.6893002,-87.6693387
"Everett Elem School",0.2,4,"HOYNE (THOMAS)",24,NA,NA,9,41.8317383,-87.6810822
"Evergreen Academy Elem School",0.4,8,"KUCINSKI-MURPHY (VICKI, ROSEBETH)",52,NA,NA,30,41.8289489,-87.6675912
"Evers Elem School",0.1,3,"EUCLID",22,NA,NA,15,41.715645,-87.6390573
"Fairfield Elem Academy",0.5,12,"PARK NO. 585",24,NA,NA,22,41.7806662,-87.691624
"Falconer Elem School",0.2,4,"PRITZKER",102,NA,NA,43,41.8781136,-87.6297982
"Faraday Elem School",0.5,12,"PARK NO. 422",13,NA,NA,6,41.8797839,-87.7082747
"Farnsworth Elem School",0.5,12,"GLADSTONE (WILLIAM)",110,NA,NA,54,41.9797454,-87.7662909
"Farragut Career Academy HS",0.3,6,"LIMAS (JULIANN HOPE)",5,404.2,391.8,19,41.8493963,-87.7084021
"Fenger Academy High School",0.7,15,"PARK NO. 589",0,392.9,385.6,4,41.6897069,-87.63784
"Fernwood Elem School",0.5,12,"FERNWOOD",39,NA,NA,9,41.7110985,-87.6401271
"Field Elem School",0.2,4,"PRITZKER",23,NA,NA,23,41.8781136,-87.6297982
"Finkl Elem School",0.5,12,"BARAGA (FREDERICK)",23,NA,NA,18,41.8495571,-87.6869531
"Fiske Elem School",0.4,10,"HARRIS (HARRIET)",16,NA,NA,18,41.7852002,-87.6089953
"Foreman High School",0.4,9,"PARK NO. 552",7,386.6,385.7,12,41.9396692,-87.7530504
"Fort Dearborn Elem School",0.2,4,"BRAINERD",36,NA,NA,13,41.7298949,-87.6550925
"Foster Park Elem School",0.3,6,"O'HALLAREN (BERNARD)",28,NA,NA,8,41.7387891,-87.6684784
"Franklin Elem Fine Arts Center",0.7,14,"FIELD (EUGENE)",132,NA,NA,51,41.9812253,-87.719237
"Frazier Perspectives Magnet ES",0.2,4,"PRITZKER",22,NA,NA,16,41.8781136,-87.6297982
"Fuller Elem School",0.2,4,"SUMAC",41,NA,NA,18,41.81806,-87.6123366
"Fulton Elem School",0.2,4,"PRITZKER",29,NA,NA,20,41.8781136,-87.6297982
"Funston Elem School",0.3,6,"MONTICELLO",26,NA,NA,25,41.9175426,-87.7173127
"Gage Park High School",0.3,7,"GAGE (GEORGE)",2,397.4,369.4,15,41.7910556,-87.6894606
"Gale Elem Community Academy",0.1,3,"WASHINGTON (HAROLD) MEM.",12,NA,NA,8,42.0207515,-87.6712414
"Galileo Elem Math & Sci Schol Acd",0.2,4,"PRITZKER",142,NA,NA,64,41.8781136,-87.6297982
"Gallistel Elem Language Academy",0.4,9,"KRAUSE (FRANCIS VERNON)",60,NA,NA,53,41.7069026,-87.534939
"Garcia Lorca Elem School",0.1,2,"PARK-VIEW",115,NA,NA,53,41.9400303,-87.7242929
"Garvey  M Elem School",0.2,4,"PRITZKER",17,NA,NA,12,41.8781136,-87.6297982
"Garvy  J Elem School",0.8,18,"SUMMERDALE",194,NA,NA,100,41.9762615,-87.7959299
"Gary Elem School",0.6,14,"MIAMI",159,NA,NA,71,41.8378797,-87.7187629
